101.59500,1.00000,1.00000,288.42889,257.41740,276.34151,128.67391,1.00000,253.87538,291.44475,1.00000,99.92299,1.00000,294.83781,124.27049,207.93641,192.83216,1.00000,179.37250,82.38350
141.47313,1.00000,1.00000,240.90554,271.09360,212.30184,177.06272,1.00000,223.77768,321.72300,1.00000,93.62232,1.00000,293.95717,103.92081,190.64052,228.03779,1.00000,246.65419,111.17145
167.53715,1.00000,1.00000,245.12393,249.86636,218.16573,142.46479,1.00000,214.57945,267.85038,1.00000,137.91819,1.00000,326.18830,115.26667,193.57830,214.02475,1.00000,271.57758,95.27234
166.78916,1.00000,1.00000,278.01619,244.24609,231.85267,131.71217,1.00000,216.02506,289.22182,1.00000,146.47840,1.00000,376.57272,150.53753,178.14432,233.92581,1.00000,284.50774,95.98404
125.47247,1.00000,1.00000,294.51064,253.58078,271.18370,161.56116,1.00000,198.56179,327.08903,1.00000,128.81885,1.00000,307.55640,134.69943,209.28992,166.53737,1.00000,269.43870,101.37139
189.13217,1.00000,1.00000,275.37820,325.16815,196.72476,141.84261,1.00000,160.45877,304.64409,1.00000,125.41032,1.00000,233.97732,146.03605,140.07107,178.34139,1.00000,341.58250,84.23334
106.10321,1.00000,1.00000,279.10073,237.65726,234.40357,134.39708,1.00000,227.58349,277.65868,1.00000,84.80776,1.00000,227.41811,142.66974,191.19240,215.01082,1.00000,256.32709,112.45068
145.85405,1.00000,1.00000,250.73414,245.40223,210.96765,137.21804,1.00000,210.18054,275.33599,1.00000,113.24021,1.00000,314.02583,68.20546,249.39132,247.93312,1.00000,218.71626,94.99108
153.07281,1.00000,1.00000,254.72406,191.18398,219.22323,154.27912,1.00000,193.89850,364.80880,1.00000,110.06728,1.00000,257.99924,148.31812,239.04960,208.08596,1.00000,266.97909,116.18510
122.94540,1.00000,1.00000,198.51448,292.24594,328.94673,149.92653,1.00000,150.69664,263.20078,1.00000,128.75062,1.00000,330.84914,125.96495,256.56227,241.04083,1.00000,261.73171,92.45706
