2.221094120311306312e+02,2.759309257655461920e+02,1.793646331595342645e+02,2.548461275529955969e+02,1.330128672868229955e+02,1.460650334974239399e+02,1.727387392396354073e+02,2.611535511876753617e+02,1.000000000000000000e+00,1.000000000000000000e+00
2.618263590489719945e+02,1.654381137952607617e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.167484333209278589e+02,1.129543145109059026e+02,1.949503070823705286e+02,1.891485351029554920e+02,1.074908164203022096e+02,2.253584045430451397e+02
1.523629571607175990e+02,1.399546288664893154e+02,2.103589380711049159e+02,2.792150524438256980e+02,1.770954242597387633e+02,1.146854656209324190e+02,2.009968251221040134e+02,2.690330681296767352e+02,1.501038991426181894e+02,1.218567176035702602e+02
1.436946131819356367e+02,1.417058378358062214e+02,2.346032831740611755e+02,1.000000000000000000e+00,1.113127660248848940e+02,2.043757055900327373e+02,2.106662623913935590e+02,2.687525965548465479e+02,2.127670715693573413e+02,1.000000000000000000e+00
2.993665559518331065e+02,1.000000000000000000e+00,2.289371172075639151e+02,1.865315961793459678e+02,1.198331902043113359e+02,1.397598038452508717e+02,2.596990537961657992e+02,2.222024999338673581e+02,1.000000000000000000e+00,2.910148956739400319e+02
1.047998544009845148e+02,2.497845166262306407e+02,1.000000000000000000e+00,1.181568361961624447e+02,2.767451763503572693e+02,1.000000000000000000e+00,2.579362721384079578e+02,1.232059164041734505e+02,2.284398726871294230e+02,1.075874770951829476e+02
2.634993024239814758e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.938353345740638360e+02,1.268079197167234327e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.092237350802249125e+02,1.000000000000000000e+00,1.143942621672078985e+02
1.000000000000000000e+00,2.406480561032021512e+02,1.746269108981869067e+02,2.157883651284394944e+02,2.044137822366483874e+02,2.279721371648463730e+02,2.473892240750499241e+02,1.252556426795933646e+02,1.000000000000000000e+00,2.004487355680449525e+02
1.153869514567634269e+02,1.000000000000000000e+00,2.633375298378320508e+02,2.182427811421088677e+02,1.000000000000000000e+00,2.665580208974909624e+02,2.824679584504398235e+02,1.150457030269244427e+02,1.000000000000000000e+00,1.096476938854612513e+02
2.383843394079498808e+02,2.938625969406268723e+02,1.108139465085204733e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.527771255193483739e+02,2.529058909116984637e+02,1.891106517430245049e+02,1.041581507430964280e+02
